nso,afr
"taba e ntseng e tswela pele ya ho qhelela ka thoko batho ba batsho, bao e leng bona ba etsang palo e kgolo, kgubung ya moruo, ho kgina kgolo ya moruo, e le ntho eo qetellong e amang kgwebo yohle.
","die voortgesette uitsluiting van die swart meerderheid uit die hoofstroomekonomie beperk ekonomiese groei, wat uiteindelik alle sakelui beïnvloed.
"
"katoloso ya motheo wa kgwebo ke ntho ya bohlokwa kgolong ya moruo.
","die uitbreiding van die land se entrepreneursbasis is fundamenteel vir ontwikkeling.
"
"re na le boikarabelo boo e leng ba rona bohle ba ho ntshetsa pele matsapa a ho tsetselela bbbee hobane e reretswe ho fedisa ho se lekalekane.
","ons het n gedeelde verantwoordelikheid om die poging om bgseb te verskans aan te moedig omdat dit oor die uitwissing van ongelykheid gaan.
"
"meruo e hlokang tekatekano e tswala ditjhaba tseo ho seng tekatekano ho tsona, ditjhaba tse hlokang tekatekano ha di hole, mme ha di atlehe.
","ongelyke ekonomieë kweek ongelyke samelewings en ongelyke samelewings ontwikkel en floreer nie.
"
"ha se feela hobane ho le phoso, empa ho boetse ho hloka mokoka, hore e be di kgwebo di bolokile dibopeho tsa tsona tsa botsamaisi le thuo ka kakaretso e le batho ba basweu kapa ba batona.
","dit is nie net verkeerd nie, maar ook onvolhoubaar vir ondernemings om hul bestuursen eienaarskapstrukture meestal blank of manlik te hou.
"
"hantlentle, ke setjhaba sa maafrika borwa seo e leng bona bareki ba mantlha ba thepa le ditshebeletso.
","dit is, per slot van rekening, die suidafrikaanse publiek wat die primêre verbruikers van hul goedere en dienste is.
"
"sena se tshwanetse ho bonahala ho fapapfapaneng ha ditlwaelo tsa kgiro le botsamaisi, thuong le tshebetsong ya theko.
","dit behoort in die diversiteit van aanstellingsen bestuurspraktyke, in eienaarskap en in verkryging, weerspieël te word.
"
"matlafatso e metheo e batsi ya batho ba batsho moruong e tla atlehiswa feela ka bolekane le boitlamo bo kopanetsweng ba ho tlisa diphetoho.
","bgseb sal slegs bereik word deur vennootskap en n gedeelde toewyding aan transformasie.
"
"kgiro ya lekgotla le letjha la bbbee e tla re thusa ho atolla madiboho a matlafatso e metheo e batsi ya batho ba batsho moruong.
","die aanstelling van die nuwe bgsebraad sal ons help om die grense van bgseb uit te brei.
"
"ke ipiletsa ho lekala la kgwebo, la basebetsi le la diinasteri hore a sebedisane le lekgotla lena nakong ena eo le kenang mosebetsing ona wa bohlokwahlokwa.","ek doen n beroep op sakelui, die arbeidsmag en nywerhede om saam met die raad te werk namate hulle hul noodsaaklike werk onderneem."
