ven,tso
"zwiito zwa shango ḓa israel ndi u pfuka mulayo wa dzitshaka.
","swendlo swa isirayele i ku tlula nawu wa matiko ya mi sava.
"
"zwi sumbedza u nyadza makumedzwa a khoro ya tsireledzo ya yuno a bvelelaho ane a ita khuwelelo ya u fheliswa ha u dzu lwa kha mavu a palestine khathihi na u khunyeledzwa ha pfanelo dza vhathu vha palestine.
","swi komba ku tsan’wa swiboho swo landzelelana swa huvo ya vusirheleri ya nhlangano wa tinxaka leswi swi lavaka ku herisa ku te kiwa ka misava ya palestina na ku fikeleriwa ka timfanelo ta vanhu va palestina.
"
"u bva tshe mmbi ya vhu tsireledzi ya israeli ya ḓhase la vharabeli muvhunduni wa al aqsa mosque ngei jerusalem vhege yo fhelaho, khakhathi zwazwino dzo ḓanganya gaza strip, zwi piḓa zwihulwane zwa west bank na fhethu hunzhi ha ḓorobo dza israeli.
","kusukela loko mavuthu ya vusirheleri ya isirayele ya hlasele vagandzeri eka al aqsa mosque ejerusalem, madzolonga se ya fike na le gaza strip, swiphemu leswikulu swa west bank na madorobakulu yo hlaya nyana ya le isirayele.
"
"zwo dzhia matshilo a vhathu vhanzhi, hu tshi katelwa na vhana.
","swi koxe vutomi bya madazeni ya vanhu, ku katsa na vana.
"
"zwi dovha hafhu zwa vhilahedza vhukuma zwa uri mmbi ya israeli yo pwashekanya zwi fhaḓo zwinzhi zwa zwitizi zwe zwa dzudza madza ngano manzhi a nyanḓa dzamafhungo, i tshi khou ru mela mulaedza u tshuwisa ho kha vha nyanḓadzama fhungo dzi vhigaho nga ha dzikhakhathi.
","swi tlhela swi vava swi nene leswaku mavuthu ya isirayele ya onhe muako wa switheze swo hlaya lowu a wu tirhisiwa hi mihlangano yo hlaya ya swihangalasama hungu, ku ri ku rhumela hungu ro chavisa swihanga lasamahungu leswi vikaka hi madzolonga.
"
"tsikeledzo dzi sa pfaliho dza israeli kha gaza dzi ḓo vha na masiandoitwa a tshinyalelo khulwane kha vhathu vha paḓaho miḓioni mbili vhane ndi kale vha tshi khou ḓhuphea nga u valwa lwa miḓwaha ya 14 hu siho mulayoni ha israeli.
","ku hlasela loko ka ku nga twisiseki no ya emahlweni ka gaza hi isirayele ku ta va na switandzhaku swo vava eka vanhu vo tlula timiliyoni timbirhi lava a va ri eku xani sekeni ehansi ka ku pfaleriwa etindhawini hi isirayele swi nga ri enawini ku ringana 14 wa malembe.
"
"ri ita khuwelelo kha mahoro oḓhe a kwameaho ya u sumbedza vhuḓifari, u ḓhonifha matshilo a vhathu, na u fhungudza vengo ḓine ḓa vha hone zwazwino.
","hi rhamba vanhu hinkwavo lava khumbekaka ku komba ku yimisa, ku hlonipha vutomi bya vanhu, no herisa ku jamelana loku nga kona.
"
"sa afrika tshipembe, ro ḓiimisela u vha tshipiḓa tsha ndingedzo dza dzi tshaka dzo lavhelesaho kha u dzudzanya maitele a poḓotiki ane a ḓo livhisa kha u thomiwa ha muvhuso u shumaho wa palestine une wa ḓo shuma hoḓhe nahone nga mulalo na shango ḓa israel, nahone ngangomu ha mikano ye ya tendelwa nga shango ḓoḓhe.
","tanihi afrikadzonga, ha tinyiketela ku va xiphemu xa matshalatshala ya matiko ya masiva lama kongomisiweke eka ku pfuxelela endlelo ra swa tipolitiki leri nga ta fikelela ku tumbuluxiwa ka mfumo wa palestina lowu tirhekaka lowu hanyisanaka swin’we na isirayele hi ku rhula, na le ndzeni ka mind zilekano leyi amukeriwaka hi matiko ya misava.
"
"thandululo ya mivhuso mivhili i dzula i yone nḓila i shumaho kha vhathu vha israel na vha palestine, nahone i fanela u bvela phanḓa na u tikedzwa.
","xitshunxo xa matiko mambi rhi xa ha ri xona xilangwa xo tirheka eka vanhu va isiray ele na palestina, naswona xi fanele ku ya emahlweni xi seketeriwa.
"
"zwenezwo musi mmbi ya tsireledzo ya israeli i tshi khou ḓhasela vharabeli ngei al aqsa mosque, riḓe ngeno afrika tshipembe ro vha ri tshi khou dzudzanya tshihumbudzo tsha miḓwaha ya ḓana tsha mabulayo a bulhoek fhethu ha vhurereli ngei ntabelanga kha ḓa kapa vhubvaḓuvha.
","hi nkarhi lowu mavuthu ya vusirheleri ya isirayele a ya hlasela vagandzeri eka al aqsa mosque, hina eafrikadzonga a hi tilulamisela ku tsundzuka dzana ra malembe ya ku yayarheriwa ka vanhu ka le bulhoek eka ndhawu ya vukhongeri ya le ntabelanga ekapavuhumadyambu.
"
"nga ḓa 24 shundunthule 1921, mmbi dza tshireledzo dza vhukoḓoni dze dza vha dzo ḓiḓama nga zwigidi dzo boma vharabeli, dza vhulaha vhathu vha paḓaho 160 na u huvhadza vha henefha kha 130. bulayo ḓo bvukulula zwiito zwa tshiḓuhu zwine zwa sa vhe zwa mmbi ya mapho lisa a vhuthihi ha afrika tshipembe fhedzi, na zwa sisiḓeme ya khethululo nga lukanda ye vha vha yo no shandukiswa u itela u tikedza.
","hi siku ra 24 mudyaxihi 1921, mavuthu ya vusirheleri ya xikoloni lawa a ya hlomile hi swibalesa na switlhavana ya duvule vagandzeri, ya dlaya vanhu vo tlula 160 no vavisa vanhu vo lava ku fika 130. ku yayarheriwa ka vanhu swi humesele erivaleni tihanyi, ku nga ri ta vuthu ra maphorisa ra yuniyoni ya afrikadzonga ntsena, kambe na sisiteme ya xihla wuhlawu xa rixakanghohe leyi a yi ri na vutihlamuleri bya ku yi sirhelela.
"
"u fana na kha khanedzo kha muvhundu wa tsini na sheik jarrah, dzinndwa dza bulhoek a dzongo vha fhedzi nga ha lunyadzo lwapo; dzo vha nga kha tshiitisi tsha khombetshedzo ya u dzhiiwa ha mavu, nga ha u dzula afho fhethu ha vhakoḓoni, nga ha tshiḓalula tsha khethululo nga lukanda na nga ha khakhathi dzi songo fanelaho dza vhahanedzi.
","ku fana na nkwetlembetano wa vaakelana va le sheik ja rrah, ku tshwukiselana ma hlo ka le bulhoek a kungari ntsena hi mayelana nkwe tlembetano wa miganga, a ku ri ngopfungopfu hi mhaka ya ku tekeriwa misa va hi ku tirhisa matimba, ku tekiwa ka misava ka xi koloni, xihlawuhlawu xo ya hi rixakanghohe, na miyeto wa lava kanetaka hi madzo longa.
"
"musi ri tshi lavhelesa kha zwiwo zwa vhubvaḓuvha vhukati nahone nga maanḓa kha u ḓhuphea ha vhathu vha palestine, ri ḓo ita zwa khwiḓe kha u hu mbula maipfi a vho selby msimang, muḓwe wa vhathomi vha ḓihoro ḓivhusi ḓa afrika tshipembe (anc).
","loko hi ri karhi hi languta eka nkayakayo lowu nga emiddle east na ngopfungo pfu eka ku xaniseka ka vanhu va palestina, swi ta va kahle ku tsundzuka marito ya selby msimang, xirho xa vatumbu luxi va african national congress.
"
"nga murahu ha mabula yo a bulhoek vho ḓwala: ""ḓivhazwakale i sumbedza uri nga lwa nzulele muya wa muthu u a vutshela u lwa na u sa vha hone ha vhulamukanyi"".
","eka switandzhaku swa ku yayarheriwa ka vanhu ka le bulhoek u tsale leswi: ""matimu ya kombile leswaku moya wa munhu hi ntumbu luko wa wona wu pfukela matimba yo lwisana na ku pfumaleka ka vululami"".
"
"migwalabo khathihi na u takutshedza ha vhathu vhe vha tsikeledzwa vha nndwa ya afrika tshipembe ya u lwa na zwa vhukoḓoni khathihi na muvhuso wa tshiḓalula zwo sumbedza vhungoho ha tshiporo fito itshi.
","ku kombisa ku vilela na ku pfukela matimba yo lwa ka vanhu lava tshikeleriweke va afrikadzonga ehenhla ka mfumo wa xikoloni na wa xihlawuhlawu swi kombe ntiyiso wa leswi a nga swi purofeta.
"
"sa vhafuni vha mbofholowo na vhulamukanyi, ri ima na vhathu vha pa lestine kha fulo ḓavho ḓa u lwela vhuḓilangi, na kha u hanedza havho zwa u kandeledzwa ha pfanelo dzavho dza vhathu khathihi na u hanelwa ha zwirunzi zwavho.
","tanihi varhandzi va ntshu nxeko na vululami, hi yima na vanhu va palestina eku laveni ka vona ndhawu ya vutifumi hi ndlela ya vona, kambe na le ka nsihalalo wa vona wa ku alelana na ku tekeriwa timfanelo ta vona ta ximunhu na ku aleriwa ka xindzhuti xa vona.
"
"sa vhadzulapo vha shango ḓe ḓa kona u shandukisa vengo ḓa zwa muvhala na u shuluwa ha malofha ḓa fhaḓa tshitshavha tshi katelaho tsho tikwaho nga pfanelo dza vhathu kha vhathu vhoḓhe, ndi fulufhelo ḓashu ḓo ḓanganelaho uri vhathu vha israel na vha palestine vha ḓo tevhela gondo ḓashu; ḓa uri vha ḓo konana, na uri vha ḓo wana mulalo.","tanihi vaakatiko va tiko leri nga kota ku herisa rivengo ro ya hi rixaka na ku halaka ka ngati no aka rixaka ro katsa hinkwavo leri simekiweke eka timfanelo ta ximunhu eka vanhu hinkwavo, i ku tshemba ka hina hinkwerhu leswaku vanhu va isirayele na palestina va ta landzela ntila wo fana; leswaku va ta twisisana, na leswaku va ta kuma ku rhula."
