zul,ven
"ungaphathi umntwana ngesikhathi upheka noma ushiye abantwana benga bhekiwe eduzane noma ekhishini.
","vha songo takula ḽwana musi vha tshi khou bika kana vha ḽutshela ḽwana a si na ḽhogomelo ngomu kana tsini na lufhera lwa u bikela.
"
"qiniseka ukuthi akufinye leleki eketeleni.
","kha vha khwaḽhisedze uri geḽela i fhethu hune ḽwana a sa swikele.
"
"thenga ike tela elingenayo intambo uma ukwazi.
","kha vha renge geḽela i si na thambo arali vha tshi nga kona.
"
"ungaphakamisi imigqomo noma amabhodwe okubilisa amanzi eduze kwaba ntwana.
","vha songo hwala gokoko ḽa u vhilisa maḽi kana khali dza maḽi a u fhisa vha tsini na vhana.
"
"qhelisa izibambo zamabho dwe ngaphambi kwesitofu.
","kha vha rembulusele mikungelo ya khali kule na phanḽa ha tshiḽofu.
"
"faka amakhandlela ebho dleleni lengilazi elishona phakathi elinesihlabathi phakathi ukuze azocima uma ewa phansi.
","kha vha vhee makhanḽela nga ngomu ha boḽelo ḽa ngilasi ḽihulwane ḽine ḽa vha na muḽavha fhasi ngauralo a ḽo bvela nnḽa arali boḽelo ḽa wa.
"
"ungambozi imililo ngesihlabathi.
","vha songo fukedza mililo nga muḽavha.
"
"ukushisa kuhlala amahora amaningi esihlabathini.
","mufhiso u a dzula kha muḽavha lwa dziawara.
"
"faka kuqala amanzi abandayo ebhavini, bese ula ndelisa ngashisayo.
","kha vha shele maḽi a u rothola u thoma ngomu bavuni, vha kone u engedza nga a u fhisa.
"
"hlola amanzi okugeza ngendo lolwane yakho kuqala nja lo nje.
","tshifhinga tshoḽhe vha thetshelese maḽi avho a u ḽamba nga lukuḽavhavha u thoma.
"
"uma ushiswe ngamalangabi, yima kanjalo, iwa phansi bese uyagingqika ukuze kuzocisha amalangabi.
","arali vha ḽiwana vhe khomboni ya u swa nga mulilo, vha ime, vha ḽipose fhasi vha vhumbuluwe u itela u dzima khavhu ya mulilo.
"
"""ukushisa komlilo, amanzi ashisayo noma ukushiswa ugesi kuzoqhubeka kushise izicubu zomzimba noma nga be kudala umlilo ususiwe.""
","""mufhiso u bvaho kha mulilo, maḽi a u fhisa kana u swa nga muḽagasi zwi ḽo bvela phanḽa na u fhisa tsikila lwa tshifhinga tshilapfu nga murahu ha u fhandekana na tsho vha fhisaho.
"
"""nqanda ukusha ngokugcina ingxenye eshile yomzimba ngaphansi kompompi wamanzi abandayo imizuzu engama20.
","""kha vha dzime u fhisa nga u vhea tshipiḽa tsha muvhili tsho swaho kha maḽi a u rothola a bommbini lwa mithethe ya 20. vha songo shumisa aisi, mafhi kana tshibveledzwa tshiḽwe na tshiḽwe tshine tsha vha na mapfura kha fuvhalo ḽa u swa,"" vho ralo vho dokotela dos passos.
"
"ungasebenzisi iqhwa, amanzi aneqhwa, ibho tela noma ngumuphi umkhi qizo osamafutha esilondeni sokusha,"" kusho udkt udos passos.",vnyangaredzothe pebbles project and ukbased tea company twinings have teamed up help farmworkers stay healthy.
