tsn,eng
"re le naga re tshwanetse go tsaya matsapa go netefatsa gore molaetsa wa ditiragalo tsa 1976 o fetisetswa kwa bathong ba bangwe ka botswapelo.
","nevertheless, the survey also found that young people of this generation are open to learning about key historical events and believe in their continued importance.
"
"ano ke maikarabelo a rona rotlhe re le puso, dikolo, ditheo tsa thuto e kgolwane, batsadi, malapa le masika, baopedi, badiragatsi le botlhe mo setšhabeng.
","we need to do more as a country to ensure that the message of 1976 is transmitted faithfully.
"
"bašwa ba ba belegweng morago ga go phutlhama ga puso ya tlhaolele ba iphitlhetse ba le ka fa gare ga puso ya temokerasi e e nang le molaotheo mo ditshwanelo tse di botlhokwa di tsewang tsia.
","this is a collective responsibility of government, schools, tertiary institutions, parents, families, musicians, artists, and all of society.
"
"ditšhono tse bašwa ba mmala wa sebilo ba gompieno ba nang le tsona di farologane thata le tsa ba mo nakong e efetileng e bile di tokafaditswe thata.
","the generation that was born after apartheid ended inherited a country with a democratic constitution and where fundamental freedoms are protected.
"
"go tswelela go ruta bašwa ka ditiragalo tseno tsa june 16 ke segopotso mo bašweng ba gompieno gore bašwa ba mo malobeng ba ikentshitse setlhabelo go le kanakang gore bašwa ba gompieno ba utlwe monate wa kgololesego.
","the opportunities young black people have today are both vastly different and greatly improved.
"
"letsatsi la go keteka mosola wa bašwa ke segopotso sa gore bašwa ba na le maatla a le mantsi bokanakang le gore ba mo lebelong le le kanakang fa go tla mo go direng gore bokamoso jwa bona bo tokafale.
","keeping the story of june 16th alive is a reminder to today’s generation of the great sacrifices made to secure their freedom.
"
"dikgwetlho tse bašwa ba tobaneng le tsona mo nageng ya aforika borwa di thiba letsatsi.
","youth day is a reminder of the immense power and agency that young people have to create a better future for themselves.
"
"bašwa ga ba bolo go gapa kwa pele dikgato tsa go lwela ditshwanelo, go sa kgathalesege gore di mabapi le go lwela thuto ya mahala kgotsa go ema kgatlhanong le maitshwaro a a bodileng a tirisodikgoka e e totileng batho ba bong jo bo rileng (gbv).
","the struggles of young people in south africa today are many.
"
"gompieno ntwa e kgolo eo bašwa ba tobaneng le yona e kgatlhanong le botlhokatiro, jo ga jaanong bo tswileng mo taolong fa e sale leroborobo leno la covid19 le runya ka fa nageng.
","young people have remained at the forefront of activism, whether in pursuit of free education or against social ills like genderbased violence.
"
"tiro e e kwa setlhoeng mo pusong eno ke go tlholela bašwa ditšhono tse dintsi tsa ditiro le go dira gore bašwa bano ba fitlhelele ditšhono tseo.
","today the greatest struggle young people wage is against unemployment, which has worsened under the covid19 pandemic.
"
"sengwe le sengwe se re se dirang re le puso se na le seabe mo go tokafatseng matshelo a bašwa.
","creating more opportunities for young people, and access to these opportunities, is government’s foremost priority.
"
"gore re kgone go samagana le botlhokatiro mo bašweng re tlhoka go godisa ikonomi ka lebelo, bogolo jang mo ditirong tse di tlhokang batho ba bantsi, mmogo le go aga bokgoni mo pusong gore e kgone go diragatsa maikarabelo a yona a go tlisa tlhabololo.
","everything that we do as a government contributes towards improving the lives of young people.
"
"re samagane le ntlha eno ka go ipeela dipeelo.
","tackling youth unemployment requires accelerating economic growth, particularly in labourintensive sectors, and building the capability of the state to fulfil its developmental role.
"
"tsone di tsenyeletsa letsholo la maditshegetso a go tlhola ditiro la moporesitente, le ga jaana le setseng le tlametse bašwa ba le bantsi ka ditšhono tsa ditiro le go tshegetsa le ka fao ba iphedisang ka teng.
","we are also driving this agenda through targeted interventions.
"
"re thankgolotse dikgato di le dintsinyana tse di farologaneng tsa go tlhola ditšhono, ra tlhabolola katiso ya bokgoni, ra ema nokeng baitlhamedikgwebo ba bašwa le go kgontsha bašwa go nna le seabe ka botlalo mo ikonoming.
","these include the presidential employment stimulus, which has provided work opportunities and livelihoods support for many young people.
"
"dikgato tseno di tsenyeletsa tsa go tsenya tirisong thulaganyo ya naga ya taolo ya dithulaganyo mmogo le letsholo la bašwa ba aforika borwa e leng se se tla nolofatsang dikgato tsa bašwa tsa go bona le go iponela ditšhono le go iponela tshegetso e e maleba ya go ka iponela ditiro.
","we have launched a range of additional measures to create opportunities, enhance skills development, support young entrepreneurs and enable the full participation of young people in the economy.
"
"tseno ke tse dingwe tsa dintlha tse di botlhokwa mo letsholong la moporesitente la go bulela bašwa ditiro, leo le thankgolotsweng dibeke di se kae fela pele re welwa ke leru la go sekega nakwana ditiro tsa ka fa nageng mo ngwageng o o fetileng mme ga jaanong letsholo leno le diragadiwa ka botlalo.
","this includes the establishment of a national pathway management network, sa youth, to make it easier for young people to view and access opportunities and receive active support to find pathways into the labour market.
"
"letsholo la moporesitente la go bulela bašwa ditiro le dirilwe go lebeletswe gore go samaganwe le matsapa a botlhokatiro ao bašwa ba tobaneng le ona.
","these are among the priorities of the presidential youth employment intervention, which was launched just weeks before we entered a national lockdown last year and which is now entering full implementation.
"
"go tla tlhoka gore go diragadiwe megopolo e e iseng e bonwe mmogo le go dirisana le badirisanimmogo ba ba ikgonang mo setšhabeng.
","the presidential youth employment intervention was built on the understanding that addressing the youth unemployment crisis requires innovative thinking and strong partnerships across society.
"
"maitlhomomagolo a letsholo leno ke go tlhagisa dithulaganyo tse di nang le mosolo, e ka tswa e le tsa tlhabololo ya bokgoni kgotsa tsa dipholisi tsa ditiro, mmogo le go diragatsa seno ka lebelo gore di thuse bašwa ka bontsi jo go ka kgonagalang.
","its ultimate objective is to find models that work, whether in skills development or active labour market policies, and to scale these rapidly to reach as many young people as possible.
"
"sa botlhokwa go gaisa ke gore letsholo leno la re bašwa e tshwanetse e nne bona ba ba tseelwang kwa godimo mo dikgatong tsotlhe tsa go thapa bašwa.
","most importantly, it recognises that young people must be at the centre of any effort to boost youth employment.
"
"bašwa ba botlhokwa thata e bile gape ke bona ba ba mosola thata mo go lwantshaneng le matsapa ano.
","young people are our greatest asset, and our greatest weapon in this fight.
"
"re akgola kakatlelo ya mošwa yo mongwe le yo mongwe ka go nna le seabe mo go ageng le mo go tlhabololeng naga ya rona.
","we salute the resilience of every young person playing their part to build and develop this country.
"
"bano ke bašwa ba ba ithaopang go thusa mo metseng ya rona, ke bona ba ba agang naga ya rona ka go nna le seabe mo letsholong la maditshegetso a go tlhola ditiro la moporesitente, ke bona ba ba itshimoletseng dikgwebo le bao ba yang dikolong go oketsa kitso ya bona.
","they are the young people volunteering in our communities, building our country through the presidential employment stimulus, running their own businesses and studying to better themselves.
"
"bano ke bašwa ba ba ikagelang bokamoso jwa bona mmogo le jwa ba malapa a bona.
","they are the young people who are forging their own path and bringing their families along with them.
"
"re akgola bašwa ba ba tsweletseng go nna mo ditirong tseo ba di dirang gore ba kgone go tokafatsa matshelo a bona.
","we salute young people who keep working to improve their lives.
"
"bašwa ba diragatsa tiro ya bona; go setse puso le setšhaba ka bophara gore le tsona di tsenye letsogo.
","young people are doing their part; they need government, and indeed all of society, to do ours.
"
"naga ya rona e rwele boima, fela re dira bosigo le motshegare gore re tlise tsholofelo mo baaging ba naga ya rona.
","our country is going through the most difficult of times, but we are working daily to expand the frontiers of hope.
"
"re bona kgolo e e iketlileng mo ikonoming ya rona, e bile re itse sentle gore seno se tla tlisa ditšhono tse di botoka tse di tla tswelang botlhe molemo.
","we are seeing the green shoots of growth in our economy, and are confident this will translate to better opportunities for all.
"
tiro ya rona ga jaana ke go netefatsa gore bašwa ba ithulagantse e bile ba na le bokgoni jwa go iponela ditšhono tseno le go itirela ditšhono tseno ka bobona.,"our task now is to ensure that young people are ready and able to access these opportunities, and to create their own."
