tsn,nbl
"letsatsi la go keteka mosola wa bašwa ke segopotso sa gore bašwa ba na le maatla a le mantsi bokanakang le gore ba mo lebelong le le kanakang fa go tla mo go direng gore bokamoso jwa bona bo tokafale.
","ukugcina indaba yomhla ka16 kumgwengweni isi khumbuzo esizukulwaneni sanamhlanje ngokuzidela okukhulu okwaphephisa ikululeko yabo.
"
"dikgwetlho tse bašwa ba tobaneng le tsona mo nageng ya aforika borwa di thiba letsatsi.
","ilanga labantu abatjha sikhumbuzo ngamandla amakhulu begodu nangomsebenzi ekufanele bawenze ukwakha ikusasa elingcono ekungelabo.
"
"bašwa ga ba bolo go gapa kwa pele dikgato tsa go lwela ditshwanelo, go sa kgathalesege gore di mabapi le go lwela thuto ya mahala kgotsa go ema kgatlhanong le maitshwaro a a bodileng a tirisodikgoka e e totileng batho ba bong jo bo rileng (gbv).
","iintjhijilo zabantu abatjha besewula afrika namhlanje zinengi.
"
"gompieno ntwa e kgolo eo bašwa ba tobaneng le yona e kgatlhanong le botlhokatiro, jo ga jaanong bo tswileng mo taolong fa e sale leroborobo leno la covid19 le runya ka fa nageng.
","abantu abatjha ba hlala badosa phambili emza balazweni, akukhethi bona bafuna ifundo yasimahla nofana balwisana nokumbi okwenzakala emphakathini okufana nokuhlunguphazwa ngokobulili.
"
"tiro e e kwa setlhoeng mo pusong eno ke go tlholela bašwa ditšhono tse dintsi tsa ditiro le go dira gore bašwa bano ba fitlhelele ditšhono tseo.
","namhlanje umzabalazo abantu abatjha abaqalene nawo kulwisana nokukhuphuka kwamazinga woku ngatholi imisebenzi solo kwehla ingogwana yecovid19.
"
"sengwe le sengwe se re se dirang re le puso se na le seabe mo go tokafatseng matshelo a bašwa.
","ukuvulela abantu abatjha amathuba amanengi, begodu nokufinyelela kwelutjha emathubeni la kuyinto eliqalontanzi likarhulumende.
"
"gore re kgone go samagana le botlhokatiro mo bašweng re tlhoka go godisa ikonomi ka lebelo, bogolo jang mo ditirong tse di tlhokang batho ba bantsi, mmogo le go aga bokgoni mo pusong gore e kgone go diragatsa maikarabelo a yona a go tlisa tlhabololo.
","koke esikwenzako singu rhulumende kusiza eku thuthukiseni amaphilo wa bantu abatjha.
"
"re samagane le ntlha eno ka go ipeela dipeelo.
","ukuqalana nomraro wokungasebenzi kwelutjha kufuna bona kube nokukhula okumsinya kwezomnotho, khulukhulu imikhakha yezabasebenzi, begodu nekwakheni ikghono lombuso ukufeza indima yawo yokuthuthuka.
"
"tsone di tsenyeletsa letsholo la maditshegetso a go tlhola ditiro la moporesitente, le ga jaana le setseng le tlametse bašwa ba le bantsi ka ditšhono tsa ditiro le go tshegetsa le ka fao ba iphedisang ka teng.
","sisaraga ngehlelo ngoku ngenelela kilokhu okuhlosi weko.
"
"re thankgolotse dikgato di le dintsinyana tse di farologaneng tsa go tlhola ditšhono, ra tlhabolola katiso ya bokgoni, ra ema nokeng baitlhamedikgwebo ba bašwa le go kgontsha bašwa go nna le seabe ka botlalo mo ikonoming.
","lokhu kufaka hlanga na ihlelo likamengameli lokusungulela ilutjha imisebenzi, elilethe ama thuba wemisebenzi begodu nokusekelwa kwamaphilo wabantu abatjha.
"
"dikgato tseno di tsenyeletsa tsa go tsenya tirisong thulaganyo ya naga ya taolo ya dithulaganyo mmogo le letsholo la bašwa ba aforika borwa e leng se se tla nolofatsang dikgato tsa bašwa tsa go bona le go iponela ditšhono le go iponela tshegetso e e maleba ya go ka iponela ditiro.
","sethule amagadango ama nengi angezelelweko woku vula amathuba, ukuthuthu kisa amakghono, ukusekela abosorhwebo abasakhasako begodu ukunikela ithuba lokuzibandakanya kwabantu abatjha kezomotho.
"
"tseno ke tse dingwe tsa dintlha tse di botlhokwa mo letsholong la moporesitente la go bulela bašwa ditiro, leo le thankgolotsweng dibeke di se kae fela pele re welwa ke leru la go sekega nakwana ditiro tsa ka fa nageng mo ngwageng o o fetileng mme ga jaanong letsholo leno le diragadiwa ka botlalo.
","lokhu kufaka hlangana ukusungulwa kwenational pathway management ne twork, yelutjha lesewula afrika, ukwenza bona izi nto zibe lula ukuze abantu abatjha babone begodu bafinyelele emathubeni nekusekelweni ukuze ba thole iindlela zokungena kumakethe yezabasebenzi.
"
"letsholo la moporesitente la go bulela bašwa ditiro le dirilwe go lebeletswe gore go samaganwe le matsapa a botlhokatiro ao bašwa ba tobaneng le ona.
","lokhu kuhlangana nama qalontanzi wokuthoma we hlelo likamengameli loku sungulela ilutjha imise benzi, asungulwa eemvekeni ezingaphambili kobana singene ekuqintelisweni kwamakhambo neminye imisebenzi elizweni loke unyaka odlulileko begodu okwanje sekuzokusebenza ngokuzeleko.
"
"go tla tlhoka gore go diragadiwe megopolo e e iseng e bonwe mmogo le go dirisana le badirisanimmogo ba ba ikgonang mo setšhabeng.
","ihlelo likamengameli lokusungulela ilutjha imisebenzi lakhiwa ngokuzwisisa bona ukwethula ikinga yokunga sebenzi kwelutjha kufuna ukucabanga okutjha begodu nokubambisana okuqinileko emphakathini.
"
"maitlhomomagolo a letsholo leno ke go tlhagisa dithulaganyo tse di nang le mosolo, e ka tswa e le tsa tlhabololo ya bokgoni kgotsa tsa dipholisi tsa ditiro, mmogo le go diragatsa seno ka lebelo gore di thuse bašwa ka bontsi jo go ka kgonagalang.
","ihloso ekulu kuthola ama modeli asebenzako, nanoma ngabe kusekuthuthukiseni amakghono nofana kumakethe yezabasebenzi, begodu nokumeda lokhu msinyazana ukufinyelela abantu abatjha abanengi.
"
"sa botlhokwa go gaisa ke gore letsholo leno la re bašwa e tshwanetse e nne bona ba ba tseelwang kwa godimo mo dikgatong tsotlhe tsa go thapa bašwa.
","okuqakatheke khulu kukuthi, kuyabonakalisa bona abantu abatjha kufanele babekhona ekulingeni ukuthuthukisa ukusebenza kwelutjha.
"
"bašwa ba botlhokwa thata e bile gape ke bona ba ba mosola thata mo go lwantshaneng le matsapa ano.
","abantu abatjha baligugu lethu elikhulu, begodu sikhali sethu esikhulu epini esikiyo le.
"
"re akgola kakatlelo ya mošwa yo mongwe le yo mongwe ka go nna le seabe mo go ageng le mo go tlhabololeng naga ya rona.
","siyazikhakhazisa ngokuqina komuntu omutjha ngamunye odlala indima yakhe ekwakheni begodu ekuthuthukiseni ilizwe lekhethu.
"
"bano ke bašwa ba ba ithaopang go thusa mo metseng ya rona, ke bona ba ba agang naga ya rona ka go nna le seabe mo letsholong la maditshegetso a go tlhola ditiro la moporesitente, ke bona ba ba itshimoletseng dikgwebo le bao ba yang dikolong go oketsa kitso ya bona.
","bababantu abatjha abazinikelako emiphakathini yethu, ekwakheni ilizwe lethu ngehlelo lokusungulela ilu tjha imisebenzi, ukuraga amarhwebo wabo begodu nokufunda ukuze babe babantu abaphila ngcono.
"
"bano ke bašwa ba ba ikagelang bokamoso jwa bona mmogo le jwa ba malapa a bona.
","bababantu abatjha abakha iindlela zabo begodu badosa phambili imindeni yabo kanye nabo.
"
"re akgola bašwa ba ba tsweletseng go nna mo ditirong tseo ba di dirang gore ba kgone go tokafatsa matshelo a bona.
","siyazikhakhazisa ngabantu abatjha abasolo basebenzela ukuthuthukisa ipilo yabo.
"
"bašwa ba diragatsa tiro ya bona; go setse puso le setšhaba ka bophara gore le tsona di tsenye letsogo.
","abantu abatjha balima yabo indima, batlhoga urhulumende begodu nomphakathi woke nokulima yethu indi ma.
"
"naga ya rona e rwele boima, fela re dira bosigo le motshegare gore re tlise tsholofelo mo baaging ba naga ya rona.
","ilizwe lekhethu lihlanga bezene neenkhathi ezibudisi khulu, kodwana sisebenza imihla yoke ukubuyisa ithemba.
"
"re bona kgolo e e iketlileng mo ikonoming ya rona, e bile re itse sentle gore seno se tla tlisa ditšhono tse di botoka tse di tla tswelang botlhe molemo.
","sibona amatshwayo ama hle wokukhula komnotho begodu sinesiqiniseko soko bana lokhu kuzokutjhu guluka kulethe amathuba angcono kibo boke abantu.
"
tiro ya rona ga jaana ke go netefatsa gore bašwa ba ithulagantse e bile ba na le bokgoni jwa go iponela ditšhono tseno le go itirela ditšhono tseno ka bobona.,"okwanje umsebenzi wethu kuqinisekisa bona abantu abatjha bakulungele begodu bayakghona ukufinyelela amathuba la, begodu nokuzakhela wabo amathuba ekorweni yomnotho."
