nso,nbl
"mamela le ho ithuta ho batho ba kileng ba ima e le barwetsana.
","lalela bewufunde kilabo ababasidisi basese matlawana.
"
"ba tseba diphoso le mathata a seo.
","bayazazi iimphoso zabo neenkhisi abarhohlomela kizo.
"
"mamela le ho ithuta ho batswadi ba hao mabapi le maiphihlelo a bona a bophelo.
","lalela ababelethi bakho begodu ufunde emlandweni wamaphilo wabo nabasakhulako.
"
"haeba o etsa qeto ya hore ho ila le ho diehisa thobalano ha se diqeto tse hlwahlwa ka ho fetisisa bakeng sa hao mme ha o kgone ho ema, nka nako ya ho ithuta ka tshireletso, ho kenyeletsa ho thibela pelehi, ho sebedisang mokgwa (o tlwaelehileng kapa wa dikhemikhale) bakeng sa ho thibela ho ima.
","nawuqunta bonyana ukuzithiba nokuriyadisa ukuya emsemeni akusizo iinqunto ezikufaneleko nezingcono begodu awufuni ukulinda, zinikele isikhathi ufunde ngokuzivikela, okufaka hlangana iinkhandelambeleko, okukusebenzisa indlelathize (isikhandelambeleko esifakwa hlangana neqanda nembewu, ipilisi nofana ikhondomu) ukuvikela ukuba sidisi.
"
"ho na le dithibela pelehi tse fapafapaneng tse sebetsang ka ditsela tse fapaneng, empa kaofela di reretswe ho thibela pelehi.
","kuneenkhandelambeleko ezisebenza ngeendlela ezihlukileko, kodwana zoke zenzelwe ukuvikela imbeleko.
"
"di kenyeletsa tse nowang ka molomo, tse tsejwang e le ‘pidisi’; thibelo ka ente; le dikgohlopo tsa banna le tsa basadi.
","zifaka hlangana isivikelambeleko esiselwako, esaziwa ngokuthi ‘lipilisi’, isikhandelambeleko esimjovo namakhondomu wabantu bembaji newebengubo.
"
"nka etsa eng haeba ke imme?
","khuyini engingakwenza nasele ngisidisi?
"
"haeba o nahana hore e ka nna ya ba o imme, leba tleliniking e haufi le motho eo o mo tshepang bakeng sa diteko tsa boimana.
","nawusola bonyana usidisi, khamba nomuntu omthembako emtholapilo oseduze uyokuhlolelwa ukuba sidisi.
"
"tlhokomelo ya boimana (ho hlokomela lesea le song ho tswalwe) ho bohlokwa mme hangata e qala dibekeng tse robedi.
","itjhejo lomuntu osidisi (ukutlhogonyelwa komntwana ongakabukubelethwa) kuqakathekile begodu kuthoma ngeveke yobunane.
"
"tleliniki ya heno e ka o thusa ka tlhokomelo ya boimana mme mosebeletsi wa tsa tlhokomelo ya kalafo o tla o thusa ho tla ka moralo o tshwanelang wena le lesea la hao.
","umtholapilo wangekhenu ungakusiza ngetjhejo lomuntu osidisi begodu umsebenzi wezamaphilo uzokusiza ukutlama ihlelo elivumelana nawe nomntanakho.
"
"haeba o imme, ho bohlokwa ho ja dijo tse itekanetseng tse nang le phepo, ho ikwetlisa le ho robala ho lekaneng le ho phema dithethefatsi le jwala.
","nawusidisi, kuqakathekile ukugoma imivango enezakhamzimba, ukuthabulula umzimba, ukulala ngokwaneleko nokuzila iindakamizwa notjwala.
"
"*tlhahisoleseding ena e fanwe ke lefapha la bophelo bo botle la kwazulunatal.
","*ilwazeli ulilethelwa mnyango wezamaphilo wakwazulu natala.
"
"ho ima o le morwetsana ho tla ama bophelo ba hao bohle, feela ho na le ditsela tsa ho ipaballa mabapi le boimana bo sa rerwang.","ukuba sidisi lokha nawusese litlawana kuzokuba nomthelela omumbi epilweni yakho yoke, nokho zikhona iindlela zokobana uvikele ukuba sidisi okungakahlelwa."
