xho,nbl
"ukuba ugqiba kwelokuba ukuzila ukwabelana ngesondo okanye ukulibazisa ukwabelana ngesondo ayisosigqibo sikulungeleyo kwaye awufuni kulinda, thatha ixesha ufunde malunga nokhuseleko, kuquka izithintelikukhulelwa, ezikukusebenzisa indlela ethile (izixhobo ezifana nekhondomu okanye iipilisi) zokunqanda ukukhulelwa.
","nawuqunta bonyana ukuzithiba nokuriyadisa ukuya emsemeni akusizo iinqunto ezikufaneleko nezingcono begodu awufuni ukulinda, zinikele isikhathi ufunde ngokuzivikela, okufaka hlangana iinkhandelambeleko, okukusebenzisa indlelathize (isikhandelambeleko esifakwa hlangana neqanda nembewu, ipilisi nofana ikhondomu) ukuvikela ukuba sidisi.
"
"zininzi izithintelikukhulelwa ezisebenza ngeendlela ezahlukileyo, kodwa zonke zenzelwe ukunqanda ukukhulelwa.
","kuneenkhandelambeleko ezisebenza ngeendlela ezihlukileko, kodwana zoke zenzelwe ukuvikela imbeleko.
"
"ziquka izithintelikukhulelwa eziselwayo, ezaziwa ngokuba ‘yipilisi’; izithintelikukhulelwa eziyinaliti; kunye neekhondomu zamadoda nezabafazi.
","zifaka hlangana isivikelambeleko esiselwako, esaziwa ngokuthi ‘lipilisi’, isikhandelambeleko esimjovo namakhondomu wabantu bembaji newebengubo.
"
"ndingenza ntoni ukuba ndikhulelwe?
","khuyini engingakwenza nasele ngisidisi?
"
"ukuba ucinga ukuba ukhulelwe, hamba nomntu omthembayo uye kwikliniki ekufuphi uyokwenza uvavanyo lokukhulelwa.
","nawusola bonyana usidisi, khamba nomuntu omthembako emtholapilo oseduze uyokuhlolelwa ukuba sidisi.
"
"ukuhlukuhla (ukunikezelwa kwenkathalelo kosana olungekazalwa) kubalulekile kwaye amaxa amaninzi kuqala kwiiveki ezisibhozo ukhulelwe.
","itjhejo lomuntu osidisi (ukutlhogonyelwa komntwana ongakabukubelethwa) kuqakathekile begodu kuthoma ngeveke yobunane.
"
"ikliniki ekufutshane nawe ingakunceda xa ufuna ukuya kuhlukuhla futhi umsebenzi wenkathalelo yezempilo ongunompilo wakho angakuncedisa ukwenza isicwangciso esikufaneleyo wena nosana lwakho.
","umtholapilo wangekhenu ungakusiza ngetjhejo lomuntu osidisi begodu umsebenzi wezamaphilo uzokusiza ukutlama ihlelo elivumelana nawe nomntanakho.
"
"ukuba ukhulelwe, kubalulekile ukuba utye ukutya okusempilweni okunezondlo, uzivocavoce, ulale ngokwaneleyo kwaye ungazisebenzisi iziyobisi nokusela notywala.
","nawusidisi, kuqakathekile ukugoma imivango enezakhamzimba, ukuthabulula umzimba, ukulala ngokwaneleko nokuzila iindakamizwa notjwala.
"
"*olu lwazi lukhutshwe lisebe lezempilo lakwazulunatala.
","*ilwazeli ulilethelwa mnyango wezamaphilo wakwazulu natala.
"
"ukukhulelwa usaqala ukufikisa kuza kuba negalelo kubomi bakho bonke, kodwa zikhona iindlela zokuzigcina ukhuselekile ekukhulelweni okungacwangciswanga.","ukuba sidisi lokha nawusese litlawana kuzokuba nomthelela omumbi epilweni yakho yoke, nokho zikhona iindlela zokobana uvikele ukuba sidisi okungakahlelwa."
