zul,sep
"lokhu kuyingqophamla ndo ohlelweni lokuguqulwa kwezolimo, futhi lugcina isithembiso esikusomqulu wenkululeko esithi umhlaba kuzokwabelwana ngawo kulabo abasebenza kuwona.
","ye ke kgatelopele ye kgolo tshepedišong ya mpshafatšo ya naga ya temo, e bile e kgontšha ditshephišo tša metheo ya tokologo tša gore naga e tla abelanwa magareng ga bao ba šomang go yona.
"
"umbono wethu wokuphi nde kwabiwe umhlaba uhlose ukulinganisa phakathi kobulungiswa kwezenhlalo noku lungisa, nokukhulisa imi khiqizo yezolimo ngokuletha abalimi abansundu abaningi emnothweni omkhulu.
","ponelopele ya rena ya pušetšo tša naga e nepile go hlola tekatekano magareng ga toka ya setšhaba le magato a go lokiša, le go kaonafatša tšweletšo ya temo ka go tliša balemi ba bantši ba bathobaso ka gare ga ekonomi ya bohle.
"
"umhlaba uyifa eliletha inzuzo futhi ungasetshenzi swa njengesibambiso ukuzu za elinye ifa.
","naga ke thoto ya tšweletšo yeo e dirago letseno ebile e ka šomišwa bjalo ka tšhireletšo ya go šireletša dithoto tše dingwe.
"
"kumele siqinisekise ukuthi umhlaba odingekayo ukuze kulinywe usetshenziswa ngendlela enenzuzo.
","re swanetše go netefatša gore naga yeo e humanwego ka lebaka la merero ya temo e šomišwa go tšweletša ditšweletšwa.
"
"ukuze siqaphe umhlaba onikeziwe kahulumeni ukuze kuli nywe kuwona, isivumelwano sokuwuqasha asidluliseleki komunye umuntu.
","go šireletša naga ya mmušo yeo e abetšwego merero ya temo, konteraka ya go hiriša naga yeo e ka se fetišetšwego mothong wo mongwe.
"
"abazu zile bazosayina isivumelwano sokuqasha nohulumeni bese bekhokha imali yokuqasha elingana nenani lomhlaba.
","bao ba holegago ke naga yeo ba tla saenela kwano ya go hira le mmušo le go lefa tefo ya go se fetoge ya rente ya go tsamaišana le boleng bja naga yeo.
"
"kumele futhi siqinisekise ukuthi abalimi bayasekelwa baze basimame futhi benze inzuzo.
","re swanetše go netefatša gore balemi ba fiwa thekgo ge ba le leetong la bona la go ikema ka bobona le go itirela letseno.
"
"njengengxenye yalolu hlelo, abazuzile bazoqeqeshwa ngokulawula izimali kanye nokuthuthukiswa kwamabhizinisi.
","bjalo ka karolo ya lenaneo le, bao ba tla holegago ba tlo hlahlwa ka ga taolo ya ditšhelete le tlhabollo ya dikgwebo.
"
"isikhathi esidlule sibonise ukuthi abalimi abasafufusa nabasebancane ba jwayele ukuswela amakhono kwezezimali ukubhekana namathuba ezimakethe kanye nokuzihlanganisa nokwenziwa kwemikhiqizo.
","maitemogelo a laeditše gore balemi bao ba tšwelelago le ba baswa ba fela ba hlaelelwa ke mabokgoni a ditšhelete go fihlelela menyetla ya mebaraka le go kgatha tema dithekišetšanong tša kgwebo ya temo.
"
"sibeke eqhulwini abesifazane, intsha kanye nabantu abaphila nokukhubazeka njengabantu abazozuza.
","re bea basadi pele, baswa le baholegi bao ba golofetšego.
"
"sekube nempumelelo ebonakalayo ngokuhlomisa abalimi besifazane ngaphansi kwesu lokutholwa komhlaba ipro active land acquisition strategy (iplas).
","go bile le dikatlego tšeo re ka di šupago mabapi le go maatlafatša balemi ba basadi ka fase ga leanotharollo leo le lego gona la go hwetšagala ga mafolofolo ga naga (plas).
"
"ezifundazweni eziningi, abesifazane asebenikwe amapulazi yidlrd bakwazile ukuwaqhuba ngempumelelo futhi sebedlulele ekukhiqizeni imikhiqizo ethengiswayo.
","diprofenseng tše mmalwa, basadi bao ba abetšwego dipolasa ke dlrd ba kgonne go di sepediša ka katlego le go gatela pele tšweletšong ya kgwebo.
"
"ukwengeza ekutholweni komhlaba ngokwawo, u mnyango uyaqhubeka no kutshala izimali kwingqala sizinda, izinsizakusebenza nemishini ukuze labo somabhizinisi abancane bezokwazi ukuqhuba amabhizinisi aphumelelayo.
","godimo ga go hwetšagala ga naga, kgoro ye e tšwela pele go beeletša go mananeokgoparara, ditlabelo le metšhene go kgontšha borakgwebo ba kgone go sepediša dikgwebo tšeo di atlegilego.
"
"ukusabalalisa ukufinyelela emhlabeni nasemathubeni okulima kuzosekela ukusu ngulwa kwemisebenzi kanye nokuthuthukiswa kwama bhizinisi, futhi kuthuthukisa imakethe yokudla, izimpahla zolimo kanye nezinsiza.
","go atiša go hwetšagala ga naga le menyetla ya temo go tla thekga tlholego ya mešomo le tlhabollo ya dikgwebo, le go kaonafatša mebaraka ya dijo, ditšweletšo tša temo le ditirelo.
"
"inhloso enkulu yokudedela lezi ziqephu zomhlaba ngukuguqula isimo sezolimo ngokukhulisa isizukulwane esisha sabalimi.
","moreromogolo wa go neelana ka dihekthara tše tša naga ke go fetoša ponego ya temo ka go tšweletša bafsa ba balemi.
"
"ukuqasha umhlaba ngaphansi kwezimo ezivunayo kumele kubenze bacabange okukhulu; hhayi nje ukukhulisa amabhizinisi abo kodwa ukwenza ngcono ingcebo okwabelwana ngayo kanye nokuchuma emiphakathini abalima kuyona.
","go hiriša naga ka fase ga maemo ao a ba dumelelago go swanetše go ba fa tlhohleletšo ya go nagana ka dikgolo; e sego fela ka go godiša dikgwebo tša bona eupša le ka go tšwetša pele lehumo la mohlakanelwa le katlego ditšhabeng tšeo ba dirago tša temo.
"
"kumele bapholise ama nxeba obandlululo lwesikhathi sethu esedlule.
","ba swanetše go fediša dilo tšeo di bego di re aroganya mo nakong ye e fetilego.
"
"kumele bayichithe inkolelo ethi abalimi abamhlophe kuphela abaphumelelayo ekuthengiseni eningizimu afrika, nokuthi abalimi aba nsundu bahlale 'befufusa.
","ba swanetše go fediša kgopolo yeo e fošagetšego ya gore ke fela balemi ba bathobašweu bao ba atlegilego dikgwebong tša temo ka mo afrika borwa, le gore balemi ba bathobaso ba ‘tšwelela’ ka boati.
"
"'ekusebenzeni lo mhlaba; ukuwusebenzisela ukukhiqiza, nakanjani bazophendula izinkemba zibe ngamageja.
","ka go šoma naga ye; ka go e fetoša gore e be letšweletšo, ba tla tšea marumo a bona ba a dira megoma.
"
bazoba yizibonelo zokubu yisana kwezwe.,ba tla fetoga diswantšho tša poelano ya setšhaba.
