sep,afr
"dikgoro tša merero ya selegae, maphelo le tlhabollo ya leago di be di thuša ditšhaba tše di amegilego go fihlelela ditirelo tše bohlokwa.
","die departement van binnelandse sake, asook die departement van gesondheid en die departement van maatskaplike ontwikkeling het die geaffekteerde gemeenskappe gehelp om toegang tot belangrike dienste te kry.
"
"mohlala, diyuniti tša go thetha di thuša bao ba lahlegetšwego ke ditokomane tša bohlokwa mafuleng go hwetša dismart id tše diswa le go ntšha gape ditifikeiti tša matswalo.
","byvoorbeeld, mobiele eenhede help diegene wat kritiese dokumentasie in die oorstromings verloor het, om nuwe slim id’s te kry en om geboortesertifikate weer uit te reik.
"
"ditirelo tša go thetha tša maphelo, go akaretšwa le tša mekento ya covid19, di fiwa batho ka mafelong ao ditlabakelo di sa hlwago di šoma ka botlalo.
","mobiele gesondheidsdienste, insluitend kovid19inentings, word voorsien aan mense in gebiede waar die fisiese aktiwiteite nog nie ten volle operasioneel is nie.
"
"dipeakanyo tša go lefa batho ba ba amegago ka mphiwafela wa leago di dirilwe.
","meganismes is in plek gestel om die maatskaplike toelae aan die betrokke individue uit te betaal.
"
"diphapošiborutelo tša go thetha di a rekwa gore go ithuta le go ruta go se ke gwa kgaotšwa sebaka sa go feta tekano ka dikolong tše di amilwego ke mafula.
","mobiele klaskamers word verkry sodat onderrig en leer nie langer as wat nodig is in die vloedgeteisterde skole onderbreek word nie.
"
"mošomo o tšwelapele go lokiša bohlwekišetšo bja meetse a ditšhila bjo bo senyegilego, ditiši tša dipompo le mafarahlahla a kabo ya meetse.
","herstelwerk vind tans aan rioolwaterwerke, pompstasies en retikulering plaas.
"
"ditsela tše di senyegilego di a lokišwa.
","paaie wat beskadig is, word herstel.
"
"maporogo a maswa a lesomeseswai a beakantšwe bjalo ka karolo ya lenaneo la go aga maporogo a metsemagae la welisizwe.
","daar word agtien nuwe brûe beplan as deel van die welisizwe landelike brugprogram.
"
"gape go bile le kgatelopele mo go lokišeng mananeokgoparara a bohlokwa a go thekga port of durban.
","daar is ook aansienlike vordering gemaak in die herstel van sleutelinfrastruktuur wat aan die durbanse hawe ondersteuning bied.
"
"ka lebaka la bohlokwa bja boemakepe go ikonomi ya bosetšhaba le ya kontinente, sephethephethe sa boemakepe se lokišitšwe, mešomo ya ditheminale e tšwelapele ka botlalo le mošomo wa go lokiša mananeokgopaprara a ditimela ao a senyegilego a tšwela pele.
","gegewe die belangrikheid van die hawe vir die nasionale en kontinentale ekonomie, is haweverkeer herstel, terminaalaktiwiteit weer op vol kapasiteit en herstelwerk aan die beskadigde spoorinfrastruktuur is aan die gang.
"
"magato a tlaleletšo a a beakanywa go fa thekgo ya ditšhelete go bobedi dikgwebo tše kgolo le tše nyane tše di amilwego gampe.
","bykomende maatreëls word ook in plek gestel om finansiële ondersteuning te bied aan sowel groot as klein sakeondernemings wat in die nood is.
"
"se se nyakega bjalo ka sa tšhoganetšo go kgonthiša gore dikgwebo di ka phološwa le gore mešomo e ka šireletšwa.
","dit is dringend nodig sodat besighede in bedryf kan bly en poste behou word.
"
"mo dinakong tša go fapana mo historing ya temokrasi ya rena, re lebane le ditiragalo le maemo ao a lekilego kgotlelelo ya batho ba gaborena le go šoma botse ga diinstitšhušene tša rena.
","ons is al op verskillende stadiums in die geskiedenis van ons demokrasie gekonfronteer met gebeure en omstandighede wat die deursettingsvermoë van ons mense en die doeltreffendheid van ons instellings tot die uiterste beproef het.
"
"re bone ba e ba ngatana e tee le go feta mo go thekgeng ditšhaba tše di amilwego go la kwazulunatal, kapa bohlabela le leboa bodikela.
","ons het buitengewone meelewendheid en ondersteuning aan die geaffekteerde gemeenskappe in kwazulunatal, die ooskaap en noordwes gesien.
"
"mebušo ya profentshe le ya mmasepala e be e šomišana kudu le dikgoro tša bosetšhaba le dientšentshi go kgontšha batho go agaleswa maphelo a a bona le go bušetša ikonomi ya mafelo ao maemong.
","munisipale en provinsiale regerings werk nou saam met nasionale departemente en agentskappe om mense in staat te stel om hulle lewens weer op te bou en die plaaslike ekonomie weer aan die gang te kry.
"
"ba šomile le bakgathatema ka moka ka mafelong a ka moka go kgonthiša gore re beakanya maiteko a tsošološo ka tshwanelo le gore re beakanywa le go aga leswa ka mokgwa wo e lego gore o tiiletše go feta ditiragalo tše šorošoro tša mohuta wo ka moso.
","hulle het saam met al die rolspelers in al dié gebiede gewerk om seker te maak dat ons die herstelpogings doeltreffend koördineer en dat ons op n wyse beplan en herbou wat meer veerkragtig is in die geval van sodanige uiterste gebeure in die toekoms.
"
"kgotlelelo ya ditšhaba tše di amilwego, phišegelo ya bona ya go atlega le bokgoni bja bona bja go kgobokana mo dinakong tša mathata e bile tlhohleletšo.
","die wilskrag van die geaffekteerde gemeenskappe, hulle vasberadenheid om te slaag en hulle vermoë om saam te staan in krisistye, is n inspirasie.
"
"re leboga ka moka bao e bilego karolo ya batho ba go thuša diprofentshe tše di amilwego.
","ons salueer almal wat deel was van die poging om die mense in die geaffekteerde provinsies te help.
"
"bjalo ka mmušo, re kgoboketša ditlabela ka moka tše di hwetšagalago le go tšea kgato ye nngwe le ye nngwe go kgonthiša gore, bjalo ka ge re aga, go se be le yo a tlogelwago morago.","as regering mobiliseer ons al die beskikbare hulp bronne en doen ons alles in ons vermoë om seker te maak dat, soos ons besig is om te herbou, niemand agtergelaat word nie."
