xho,afr
"uluntu malungazisebenzi zigqubuthelobusoezisetyenziswa kuqhaqho (kunyango) okanye ezezixhasi zokuphefumla zen95 kuba ezo zigcinelwa oonompilo kunye nabanye abasebenzi boncedo lokuqala.
","die publiek behoort nie chirurgiese (mediese) maskers of n95asemhalingsmaskers te gebruik nie, want dit word vir gesondheidsorgwerkers en ander frontlinie mediese personeel gespaar.
"
"vekacanzibe 2020 ushicilelo 2 indlela yokuphatha isigqubuthelobuso sakho selaphu 1. sebenzisa kuphela sigqubuthelobuso ethe sahlanjwa yaza yaayinwa.2.
","vmei 2020 uitgawe 2hoe om jou materiaalmasker te hanteer 1. gebruik slegs 'n masker wat gewas en gestryk is.2.
"
"hlamba izandla zakho phambi kokuba unxibe sigqubuthelobuso.3.
","was jou hande voordat jy die masker opsit.3.
"
"beka icala elichanekileyo sigqubuthelobuso ebusweni bakho, uze uqinisekise ukuba iyigquma kakuhle impumlo yakho nomlomo ngokunjalo.4.
","sit die masker met die regte kant na jou gesig toe op en maak seker dat dit jou neus en mond behoorlik bedek.4.
"
"bophelela imitya yaso emva kwentloko yakho, okanye ukuba usebenzisa eselastikhi, qinisekisa ukuba siqine nkqi.5.
","bind die toutjies agter jou kop vas, of as jy rekkies gebruik, maak seker dat die rekkies die masker styf vashou.5.
"
"qinisekisa ukuba sikulingana kakuhle.
","maak seker dat dit goed pas.
"
"sise ngapha nangapha ide silingane kakuhle.
","beweeg dit rond totdat dit goed pas.
"
"ungaze ulithinte icala lelaphu.6.
","moet nooit aan die materiaalgedeelte vat nie.6.
"
"wakuba usinxibile sigqubuthelobuso, musa ukuthinta ubuso bakho kwakhona ude usikhulule.
","wanneer jy die masker opgesit het, moet jy nie aan jou gesig vat voordat jy dit afgehaal het nie.7.
"
"7. xa usikhulula, khulula amaqhina, uze usisonge ngononophelo imaski icala langaphakathi libe ngaphandle, sibambe ngemitya/ngelastikhi uze usifake sigqubuthelobuso kwisikhongozelo esisetyenziselwa ukuhlamba isigqubuthelobuso selaphu.
","wanneer jy die masker afhaal, maak die toutjies los, vou die masker onderstebo, hou dit vas aan die toutjies/rekkies en sit dit in 'n houer wat spesifiek vir die was van materiaalmaskers opsygesit is.8.
"
"8. hlamba izandla zakho kakuhle uze uzosule phambi kokwenza nayiphi na enye into.9.
","was jou hande deeglik en droog hulle behoorlik af voordat jy enigiets anders doen.9.
"
"kufuneka umntu ngamnye abe zigqubuthelobuso ezimbini ubuncinane ukuze akwazi ukuthi xa ehla mbe enye, abe nesinye ecocekileyo esilungele ukusetyenziswa.10.
","daar moet minstens twee materiaalmaskers per persoon wees sodat een gewas kan word en daar een skoon masker vir gebruik is.10.
"
"izigqubuthelobuso kufuneka zihlanjwe ngamanzi ashushu anesepha, zipulwe kakuhle zandule ukuayinwa.
","maskers moet met seep en warm water gewas word, behoorlik uitgespoel en gestryk word.
"
"ukubaluleka ngokungasondelelani kwabantu kwidabi lokulwa nentsholongwane yecovid19 enosulelo oluphezulu, ukungasondelelani kwabantu kubaluleke ngokugqithisileyo ekuncedeni ukunqanda ukusasazeka kwesi sifo elizweni jikelele.
","die belangrikheid van sosiale afstand sosiale afstand is uiters belangrik in die stryd teen covid19 omdat dit help om die verspreiding van dié siekte regoor die land te beperk.
"
"ukungasondelelani kwabantu kuthetha ukugcina umgama onokhuseleko omalunga neemitha ezi2 kwabanye ukuze unciphise ukudluliselwa phambili kwecovid19 .
","sosiale afstand beteken dat jy 'n veilige afstand van ongeveer 2m van ander mense af moet wegbly, sodat jy die oordrag van covid 19 beperk.
"
"esi senzo sibaluleke kakhulu njengoko sisephakathi kubhubhane wentsholongwane icorona apho intsholongwane isasazeka ukusuka komnye umntu isiya komnye ngokudluliswa ngumntu owosulelekileyo okhupha amathontsana xa ethimla, ekhohlela okanye ethetha.
","dié gewoonte is baie belangrik terwyl ons middein die koronavirusepidemie is, waar die virus van persoon tot persoon oorgedra word wanneer druppels van iemand wat die virus het, deur nies, hoes of praat, versprei.
"
"ukuphunyezwa kokungasondelelani kwabantu nokuvaleleka phantsi kwemiqathango ethile emzantsi afrika kubalulekile ekuthotyweni kweqondo losuleleko, elibonakala ngokwehla kwamanani abantu abosulelekileyo.
","die toepas van sosiale afstand en die staat van inperking in suidafrika is noodsaaklik om die kurwe gelyk te maak, wat aangedui word deur ’n afname in die aantal mense wat die virus opdoen.
"
ezi nkcukacha zinikezelwe lisebe lezempilo.,"dié inligting is deur die nasionale departement van gesondheid, verskaf."
