xho,ven
"apho bekukho khona ukudingeka kweppe izibhedlele zethu zikulungisa ngokukhawuleza oko ukuqinisekisa ukuba zikhona.
","he ha vha hu na ṱhahalelo ya zwishumiswa zwa u tsireledza muthu ene muṋe (ppe) zwibadela zwashu zwi khou sedzana nazwo nga u ṱavhanya u vhona uri zwi vhe hone.
"
"siyayazi ukuba ukufikelela kwippe asikokuphela komce limngeni abasebenzi bethu benkathalelo yezempilo abajongene nawo.
","ri a ḓivha zwauri u swikela zwishumiswa zwa u tsireledza muthu ene muṋe (ppe) a si yone khaedu i yoṱhe ine vhashumi vha ndondolamutakalo vhashu vha ṱangana nayo.
"
"kweli lizwe jikelele iikliniki nezibhedlele zijongene nokudingeka kwabasebenzi.
","u mona na shango dzikiḽiniki na zwibadela zwi khou ṱangana na khaedu dza ṱhahalelo ya vhashumi.
"
"le ngxaki iyalungiswa.
","thaidzo iyi i khou sedziwa.
"
"ukuxhasa umsebenzi owenzi wa nga basebenzi bethu abanga bona baphambili edabini kweli lizwe jikelele sithumela abaphathiswa noosekela baphathiswa kwisithili ngasinye kweli lizwe ukuze babe nokuzibonela ngokwabo imicelimngeni ngobunjalo bayo kwezi zithili ukuze base benzisane nabasemagunyeni kwezempilo kula maphondo.
","u tikedza mushumo une vhashumi vhashu vha re tshivhidzini vha khou ita u mona na shango ri khou rumela dziminisṱa na vhafarisa dziminisṱa kha tshiṱiriki tshiṅwe na tshiṅwe kha shango u ya u wanulusa khaedu nkene kha zwiṱiriki izwi na u shuma na vha maanḓalanga vha zwa mutakalo kha vundu.
"
"kufanele sisebenze kunye ukukhusela hayi nje kuphela impilo yabasebenzi abangabona baphambili edabini kodwa bonke nje abasebenzi.
","ri tea u shumisana u tsireledza mutakalo hu si wa vhashumi vha re tshivhindini fhedzi, fhedzi na u itela na vhashumi vhoṱhe.
"
"imibutho yabasebenzi sele yenze umsebenzi omhle wokufundisa amalungu malunga nokulawula nokuthintela usuleleko nococeko.
","zwa zwino hu na mushumo wavhuḓi uno khou itwa nga madzangano wa u funza miraḓo nga zwa ndango ya phirela, u thivhela na tsiravhulwadze.
"
"ikwaxhasa nomsebenzi wesebe lezengqesho nezemisebenzi ekwenzeni uhlolo lwasemsebenzini ukuqinisekisa ukuba imimiselo yezempilo nokhuseleko iyalandelwa kubasebenzi ababuyela emsebenzini.
","vha khou tikedza mushumo wa muhasho wa zwa mushumo na vhashumi kha u tshimbidza zwa vhuṱoli ha mushumoni u vhona uri matshimbidzele a zwa tsireledzo na mutakalo a kha ngona u itela vhashumi vha no khou humela mushumoni.
"
"uninzi lwemibutho yethu yabasebenzi ikwabonelela ngolwazi lwentsholongwane icorona kumalungu wayo kwaye abaqeshi benza amaphulo okuqondisa.
","vhunzhi ha madzangano ashu a vhashumi a khou ṋetshedza mafhungo nga ha tshitzhili tsha corona kha miraḓo yao nahone vhatholi vha khou tshimbidza mafulo a u tsivhudza.
"
"omnye wemicelimngeni othe wavela kweli lizwe lethu kukubekwa ibala kwabo bantu bathe bafunyaniswa benayo intsholongwane icorona.
","iṅwe ya khaedu yo ṱahaho kha shango ḽashu ndi u shata samba vhathu vhe vha itwa ndingo vha wanala uri vha na tshitzhili tsha corona .
"
"siluluntu, sinoxanduva oludibeneyo lokukuncothula nengcambu ukubeka ibala abantu abosulelwe yintsholongwane icorona .
","sa tshitshavha, ri na vhuḓifhinduleli roṱhe ha u fhelisa zwa u shata samba vhathu vho kavhiwaho nga tshitzhili tsha corona.
"
"kubekho iingxelo ezihluphayo zabantu abasikiweyo kuluntu abahlala nalo kunye noluntu oluqhankqalazayo kuba izigulana ezinentsholongwane icorona zilaliswa kwizibhedlele zasekuhlaleni nasezikliniki.
","ho vha na mivhigo i vhaisaho ya vhathu vhe vha thudzelwa thungo nga tshitshavha tsha havho, ha vha na tshitshavha tshe tsha gwalabela vhalwadze vha re na tshitzhili tsha corona musi vha tshi khou ṱanganedzwa kha zwibadela na kiḽiniki dzapo.
"
"lo nto leyo mayiphele.
","hezwi zwi tea u ima.
"
"njengoko sasidibene ukukhuthaza ukwamkelwa kwabantu abaphila nentsholongwane kagawulayo (ihiv) saze sema saluqilima ukulwa ukungcungcuthekiswa kwabo, kufuneka sibonakalise ukuqonda, unya mezelwano, inceba, uvelwano nemfesane kwabo bosulelweyo yile ntsholongwane neentsapho zabo.
","sa zwe ra ṱangana roṱhe u ṱuṱuwedza zwa u ṱanganedza vhathu vha tshilaho vhe na hiv ra imedzana ra lwisana na zwa u ponda, ri tea u sumbedza u pfesesa, u konḓelela, vhuhwavho na u pfela vhuṱungu miṱa ya vho kavhiwaho khathihi na avho vho kavhiwaho nga vairasi iyi.
"
"kuthiwa oku kubekwa kwebala kuqhutywa luloyiko lokosulelwa sesi sifo nokuswela ukuqonda.
","zwo ambiwa uri zwa u shata samba zwi itiswa nga nyofho dza u shavha u kavhiwa nga vhulwadze na u sa pfesesa.
"
"eyona ndlelaingcono yokoyisa uloyiko lokugula olubangelwa lithuku lemvelo nesifo esosulelayo kukuthobela imimiselo yezempilo ekhoyo.
","nḓila ya khwiṋe ya u kunda nyofho dza vhulwadze na dza u kavhiwa ndi u tevhedza maitele a tsiravhulwadze ane a vha hone.
"
"uloyiko losuleleko luyavakala kwaye lukhona.
","u ofha u kavhiwa zwi tou dzula zwi kha muthu nahone ndi zwa vhukuma.
"
"kwangaxesha nye, siyayazi ukuba yinto emasiyenze ukuzikhusela nokukhusela abanye.
","ri tshi kha zwenezwo, ri a ḓivha zwine ra tea u ita u ḓitsireledza na u tsireledza vhaṅwe.
"
"siyayazi ukuba ibangelwa yintoni le ntsholongwane nokuthi yintoni esinokuyenza uku zikhusela ukuba singosuleleki.
","ri a ḓivha zwine zwa vhanga vairasi na zwine ra nga ita u itela u ḓitsireledza kha u kavhiwa.
"
"siyayazi ukuba kufanele sigcine umgama wokuqelelana, ukuzigcina singamakheswa ukuba besidibene nabo bosulelekileyo nokuthi sizise esibhedlele ukuba sineempawu.
","ri a zwi ḓivha uri ri tea u dzula ro sia tshikhala vhukati ha iwe muṋe na muṅwe muthu, u ḓikhethela thungo arali ro ṱangana na avho vho kavhiwaho na u ya sibadela arali ri na tsumbadwadze.
"
"kufuneka siqhubeke sikhokelwa yinyaniso hayi amarhe.
","ri tea u dzula ri tshi khou langwa nga mafhungo a vhukuma hu si mavharivhari.
"
"ixesha lokuba umntu athi aka zi mntu owosulelweyo okanye ochatshazelweyo yintsholongwane icorona ledlula kudala.
","tshifhinga tshe muthu a vha a tshi nga ri ha ḓivhi muthu o kavhiwaho kana a kwameaho nga tshitzhili tsha corona tsho fhira kale.
"
"ngoku, ngaphezulu kunakuqala, abahlobo bethu, iintsapho, oogxa nabamelwane bethu badinga uvelwano nenkxaso.
","zwa zwino, nṱha ha izwo, khonani dzashu, miṱa, vhashumisani na vhahura vha ṱoḓa khuthadzo na thikhedzo yashu.
"
"kwiintsuku, iiveki nezi nyanga ziphambi kwethu, ngamanye amaxesha siza kuzifumana siphelelwa lithemba kwaye sibe noloyiko xa sibona inani labantu abosulelekayo nababhubhayo liqhubeka ukonyuka.
","kha maḓuvha, dzivhege na miṅwedzi i ḓaho, tshiṅwe tshifhinga ri ḓo ḓiwana ri tshi shaya fhulufhelo na u ḓala nyofho musi ri tshi vhona tshivhalo tsha vhathu vho kavhiwaho na vha lovhaho tshi tshi khou engedzea tshi tshi ya nṱha.
"
"kusenokuba izinto zibe mbi ngakumbi, kodwa siqinisekile ukuba ziza kuba ngcono.
","zwi ḓo vha hu uri zwithu zwo vhifha vhukuma, fhedzi ri a fhulufhela uri zwi ḓo vha khwiṋe.
"
"oosonzululwazi bethu nabacebisi bezonyango basixelele ukuba izinga losule leko liza kunyuka njengoko sifikelela encotsheni yethu.
","vhaeletshedzi vha zwa dzilafho na vhorasaintsi vhashu vho ri vhudza uri phimo ya u kavhiwa i ḓo ya nṱha musi ri tshi ya tsini na maṱhakhe azwo.
"
"kodwa ngokuqinisekileyo liza kuhla.
","fhedzi zwi ḓo tsela fhasi.
"
"sinika imbeko abasebenzi benkathalelo yezempilo abathe baphulukana nobomi babo benikezela ngenkathalelo kwabagulayo.
","ri ṱhonifha na u khoḓa vhashu mi vha ndondolamutakalo vhe vha lovha musi vha tshi khou ṱhogomela vhalwadze.
"
"ukubakhumbula, masizigcine sikhuselekile kunye nabanye abemi bakuthi ngokudlala eyethu indima.
","ri tshi khou vha elelwa, kha ri dzule ri tshi ḓitsireledza na u tsireledza vhadzulapo vhashu nga u ita tshipiḓa tshashu.
"
"siza kuyoyisa le ntsholongwane size silakhe ngokutsha uluntu lwethu.
","ri ḓo kunda vairasi hei ra fhaṱulula tshitshavha tshashu.
"
"siwabonile amaxesha awayengawonaanzima kodwa soyisa.
","ro vhona zwifhinga zwi konḓaho nahone ro kunda.
"
masingagcini mandla okanye sibindi njengokuba sisebenza kunye ukukhusela ubomi.,kha ri shumise maanḓa oṱhe na nungo dzoṱhe musi ri tshi khou shumisana u itela u phulusa matshilo.
