tso,sep
"""vavasati va nga tlhela va karhatiwa hi switandzhaku swa le moyeni hikwalaho ka nxixo lowu nga riki enawini, lowu nga hlayisekangiki, lowu katsaka mpfilungano wa mabibi ya mbilu ya le ndzhaku ka ku vaviseka, ntshikelelamiehleketo na swiphiqo swo hanyisana na vanhu.
","""gape basadi ba ka itemogela go tšeaga maikutlo ka lebaka la go ntšha mpa fao go sego gwa bolokega, fao go sego molaong, fao go akaretšago kgatelelo ya mogopolo ya ka morago ga go hlagelwa ke mathata, kgatelelo ya monagano le mathata mabapi le go boledišana le batho.
"
"""mixixo leyi nga hlayise kangiki yi nga tlhela yi katsa mikhumbo ya swa vanhu na ikhonomi yo homboloka ehenhla ka vavasati, vana, mindyangu na miganga,"" a engetela.
","""go ntšha dimpa fao go sego gwa bolokega gape go ka feletša go tlišeditše basadi bao, bana, balelapa le badudi mathata a ditšhelete,"" a tlaleletša bjalo.
"
"ku hlawula tindlela ta nxixo lowu nga enawini muthuphei u vula leswaku vavasati lava va lavaka ku herisa vuyimana bya vona va ni tindlela to hlawula leti hlayisekeke na ku va ta mahala ku swi endla eka titliliniki na swibedhlele swa mani na mani.
","dikgetho tšeo di lego gona tša go ntšha mpa ka semolao muthuphei o bolela gore basadi bao ba nyakago go fediša boimana bja bona ba na le dikgetho tše di bolokegilego le tša go se lefelwe go dira se ka dikliniking tša setšhaba le ka dipetlele.
"
"""nhlawulo wa tindlela wu fanele ku kumeka, leti hinkwato ka yona ti bohekaka ku endliwa hi dokodela loyi a leteriweke na ku va na ntokoto kumbe muongori wa xiphurofexinali,"" a engetela.
","""kgetho ya mekgwa ye e swanetše go hwetšagala, gomme ka moka ga yona e swanetše go dirwa ke ngaka ye e hlahlilwego le ye e nago le maitemogelo goba mooki wa phrofešenale,"" a tlaleletša ka go realo.
"
"tindlela leti, ku nga va ta nxixo wa vutshunguri kumbe wa vuhandzuri, ti leteriwa hi leswaku vuyimana bya wansati loyi byi lehe kufika kwihi.
","dikgetho tše, e ka ba tša go ntšha mpha ka kalafi goba ka karo, di ya ka gore boimana bja mosadi bo šetše bo fihlile kae.
"
"nxixo wa vutshunguri, lowu wu khumbaka ku nwa swikatsa swimbirhi swa tiphilisi ku herisa vuyimana, swi nga end liwa kufika eka kaye wa mavhiki ya vuyimana.
","go ntšha mpa ka kalafi, fao go akaretšago go nwa diphilisi tše pedi go fediša boimana, go ka dirwa ge mpa ya moimana e sena sebaka se se sa fetego dibeke tše senyane.
"
"""endzhaku ka swona muvabyi u ta xixa n'wana wa le ndzeni a ri ekaya naswona ku nga ri etlilini ki kumbe exibedhlele,"" ku vula muthuphei.
","""ka morago ga fao molwetši o tla ntšha senamane sa lesea leo le sego la hlwa le belegwa ka gae e sego ka kliniking goba ka sepetlele,"" gwa bolela muthuphei.
"
"mixixo ya vuhandzuri yi endliwa hi muongori loyi a tsariseke (kufika eka 12 wa mavhiki) kumbe hi doko dela (kusuka eka 12 kufika eka 20 wa mavhiki).
","go ntšha dimpa ka karo go dirwa ke mooki yo a ngwadišitšwego (go dirwa ge mpa ya moimana e sena sebaka se se sa fetego dibeke tše 12) goba ke ngaka (go dirwa ge mpa ya moimana e na le sebaka sa go tloga go dibeke tše 12 go fihla go tše 20).
"
"hi ku ya hi nawu wa nhlawulo hi mayelana na heriso wa vuyimana wa no ya 92 wa 1996 (nawu lowu), nxixo wu nga tlhela wu endliwa kusuka eka 13 wa mavhiki kufika eka 20 wa mavhiki loko dokodela, endzhaku ka ku kaneri sana na wansati loyi a tikeke, a tshemba leswaku: vuyimana lebyi yisiwaka emahlweni byi tisa nxungeto wa ku vaviseka eka rihanyo ra le mirini kumbe ra le miehleketweni ra wansati loyi.
","go ya ka molao wa kgetho ya go fediša boimana wa bo 92 wa 1996 (molao wa bo 92 wa 1996), ngaka e ka ntšha mpa ya moimana wo a nago le sebaka sa go thoma ka dibeke tše 13 go fihla go tše 20, ge e dumela gore, ka morago ga go boledišana le mosadi yo a imilego: boimana bjo ge bo tlogelwa go tšwela pele bo tla gobatša mosadi yoo mmeleng goba monaganong.
"
"ku na nxungeto wo tivikana lowu n'wana wa le ndzeni a nga ta karhatiwa hi wona hikwalaho ka vulamari bya le mirini kumbe bya le miehleketweni byo tikisa.
","go na le kotsi ye kgolo ya gore senamane sa lesea leo le sego la hlwa le belegwa se ka ba le bogole bjo bogolo bja mmeleng goba bja ka monaganong.
"
"vuyimana lebyi tumbu lukeke kusuka eka mpfinyo kumbe masangu ya maxaka.
","boimana bo bakilwe ke go katwa goba go robalana le motho wa ka gae.
"
"vuyimana lebyi yisiwaka emahlweni byi ta khumba hi ndlela yo tivikana swiyimo swa vanhu kumbe ikhonomi swa wansati loyi.
","boimana bjo bo tšwelago pele bo ka ama kudu maemo a mosadi a setšhabeng goba a ditšhelete.
"
"nxixo wu nga tlhela wu endleka endzhaku ka vhiki ra vu20 loko dokodela, endzhaku ko kanerisana na sungukati leyi tsariseke, a tshemba leswaku vuyimana lebyi yisiwaka emahlweni byi ta nghenisa vutomi bya wansati loyi ekhombyeni, byi vanga ku vumbeka ko homboloka ko tikisa ka n'wana wa le ndzeni kumbe byi tisa nxungeto wa ku vaviseka eka n'wana wa le ndzeni.
","go ntšha mpa go ka dirwa gape le ge mpa e na le sebaka sa go feta dibeke tše 20 ge ngaka, ka morago ga go boledišana le mmelegiši yo a ngwadišitšwego, e dumela gore boimana bjo ge bo tlogelwa go tšwela pele bo tla tsenya bophelo bja mosadi kotsing, bja feletša ka go sebopego gabotse kudu ga senamane sa lesea seo se sego sa hlwa se belegwa goba gwa tšweletša kotsi ya kgobalo go senamane.
"
"hi ku ya hi nawu lowu, vavasati hinkwawo, hambiloko va ri xihlangi xa le hansi ka malembe ya 18, va na mfanelo ya ku herisa vuyimana.
","go ya ka molao wo, basadi ka moka, le ge e le gore ba sa le ka fase ga mengwaga ye 18, ba na le tokelo ya go fediša boimana.
"
"a va lavi mpfumelelo kusuka eka vatswari kumbe muhlayi si wa vona.
","ga ba hloke tumelelo gotšwa batswading goba bahlokomeding ba bona.
"
"hi ku ya hi ndzawulo ya rihanyo ya le kapavupeladyambu, loko u ri xihlangi, u ta tsundzuxiwa ku vulavula na munhu lonkulu loyi u nga n'wi tshembaka na ku ta na munhu un'wana eka nkarhi wa wena wa ku vonana.
","go ya ka kgoro ya maphelo ya kapa bodikela, ge e le gore o sa le ngwana, o tla eletšwa go boledišana le motho yo mogolo yo o ka mo tshepago le gore o tle le motho yo mogolo ge o etla go rena.
"
"hambiswiritano, a wu boheki ku endla tano.","le ge go le bjale, ga o gapeletšege go dira seo."
