ven,ssw
"vho dovha vha ḓivhadza u ṋetshedzwa ha bazari dza 60 u thusa u lwa na ṱhahelelo ya vhaongi vha zwifuwo khathihi na vhathusi vhavho kha ḽa afrika tshipembe zwihulwanesa vhuponi ha mahayani.
","luphindze futsi lwamemetela kutsi kunemifundzate le60 letawubukana nalokuswelakala lokubucayi kwabodokotela nekwebasebenti betekulashwa kwetilwane etindzaweni tasemakhaya eningizimu afrika.
"
"""bazari idzo dzo itelwa zwihulusa vhagudiswa vha vhuponi ha mahayani sa vhunga vha tshi ḓo kona u humisela nḓivho iyi mahayani avho,"" avho ndi dokotela vho nomfundo mnisi, mudzulatshidulo wa hwseta.
","""lemifundzate icondziswe kakhulu kuphela kubafundzi labasetindzaweni tasemakhaya njengoba kulindzeleke kutsi bahambe nalolwati babuyele nalo etindzaweni tabo lapho babuya khona,"" kusho dkt nomfundo mnisi, sihlalo wehwseta.
"
"tshanḓa tsha minisṱa wa pfunzo dza nṱha, saintsi na vhutumbuli, vho buti manamela, vho livhuwa bazari idzo.
","lisekela lendvuna yetemfundvo lephakeme, tesayensi netekuticambela, buti manamela, wayamukela lemifundzate.
"
"khethekanyo ya saintsi ya zwa vhuongi ha zwifuwo ya up i ḓo thusa vha hwseta kha u kunguwedza, u ṋetshedza masheleni a bazari khathihi na mafulo a u wana vhagu diswa.
","sigaba setemfundvo setesayensi kutekulashwa kwetilwane saseup sitawusita ihwseta nge mikhankhaso yekwatisa, yesikhwama semifundzate neyekuheha bafundzi.
"
"""ri ḓo dovha ra thusa vha hwseta kha nda ngulo ya dzibazari, dze dza ḓo ṋetshedzwa kha vhagu diswa vha saintsi ya vhuongi ha zwifuwo vha ṅwaha wa u thoma u bva kha zwigwada zwo ṋangiwaho,"" vha ralo vho chris van blerk, ṱhoho ya vhudavhidzani na midia kha khethekanyo ya saintsi ya vhuongi ha zwi fuwo ya up.
","""sitawuphindza futsi sisite ihwseta ekulawuleni lemifundzate, letawuniketwa bafundzi bemnyaka wekucala kutekulashwa kwetilwane labavela kulamacembu labekiwe,"" kusho chris blerk, inhloko yete kuchumana netetindzaba kumkhakha wetesayensi yetekulashwa kwetilwane eup.
"
"vha ri vhaswa vha no khou ṱoḓa u kanda kha ṋayo dza mthimkhulu na u ḓiṅwalisela u guda digirii yavho ya u thoma fhaḽa up vha tea u vha vho ṱhaphudza ṱhanziela ya maṱiriki ya lushaka (nsc), kana iṅwe ṱhanziela i elanaho na yeyo, na u swikelela ṱhoḓea dza fhasisa dzo randelwaho.
","utsi lusha lolufuna kuhamba etinyatselweni tamthimkhulu nekubhalisela ticu tekucala eup kufuneka lube luphotfule matikuletjeni (insc), noma imiphumela lelingana naloko, futsi babe bahambisana nesidzingo lesimkhawulo lomncane lobekiwe.
"
"""uri vha kone u gudela digirii ya vhuongi ha zwifuwo, vha tea u vha vho wana tshikoro tsha phoindi dza u ṱanganedzwa dza fhasisa dza 28 khathihi na u khunyeledza nsc hune vha tea u vha vhe na english home language kana english first additional language, mathematics, khathihi na physical sciences kana life sciences, vho ḓadzisa nga u ralo.
","""kuticu tebachelor of vete rinary nursing, kudzingeka ube nemaphuzu ekwamukelwa la28 kanye nensc lenesingisi njengelulwimi lwasekhaya noma sibe lulwimi lwekucala lolwengetiwe, tibalo, kanye nephysical science nome nelife sciences,"" wengeta ngaloko.
"
"u wana mafhungo nga vhuḓalo nga ha sekhithara iyi, vhaswa vha nga kwama vha shumaho nga vhuongi ha zwifuwo vha phuraivethe kana vha amba na vhaongi vha zwifuwo vha tshumelo ya tshitshavha ya khombekhombe (ccs) vhane vha vha tshipiḓa tsha muhasho wa vhulimi, mvusuludzo ya mavu na mveledziso ya mahayani (dalrrd) u mona na shango.
","kutfola lwati lolubanti ngalomkhakha, lusha lungatsintsa bodokotela betilwane labatimele noma bakhulume nabodokotela betilwane bemimmango (iccs) labayincenye yelitiko letekulima, tingucuko kutemhlaba nekutfutfukiswa kwetindzawo tasemakhaya (idalrrd) labakulo lonkhe live letfu.
"
"""mbekanyamushumo ya ccs yo livhiswa kha u ṋetshedza tswikelelo ya tshumelo ya u onga zwifuwo i sa ḓuriho kha vhupo ha mahayani na vhune vhu sa wane tshumelo dzo teaho u mona na ḽa afrika tshipembe.
","""luhlelo lweccs luhlose kwenta kutsi kube nekufinyelela nekutfolakala kwetinsita tekulashwa kwetilwane letingabiti kakhulu etindzaweni letinge natinsita letanele eningizimu afrika.
"
"zwo ralo, vha tshumelo ya u onga zwifuwo vha re kha mbekanyamushumo vha ḓo shuma sa zwiko zwavhuḓi zwa mafhungo a elanaho na u onga zwifuwo,"" vha ralo vhovan blerk.","ngaloko, bodokotela betilwane labakuloluhlelo batawuhlala basebenta njengemitfombo yelwatiso,"" kusho van blerk."
