ven,nso
"""ndi ḽiṅwe ḽa mabuḓo a fushaho vhukuma.
","""ke le leng la makala a putsang ka ho fetisisa.
"
"arali ni tshi ṱoḓa u vha muongi wa zwifuwo, ni songo tenda nyofho kana u shaya nḓivho zwi tshi ni khelusa kha u nga lingedza na u ḓiphiṋa ngaḽo ngauri ḽi ḓo shandukisa vhutshilo haṋu nga nḓila ya khwiṋesa,"" u ralo mthimkhulu.
","haeba o batla ho ba mooki wa diphoofolo, o se ke wa dumella tshabo kapa kgaello ya tsebo ho o thibela ho le leka le ho le thabela hobane le tla fetola bophelo ba hao hore e be bo betere,"" ho rialo mthimkhulu.
"
"bazari dza u thusa kha ṱhahelelo ya zwikilinga nṱhani ha ṱhahelelo khulu ya zwikili kha sekhithara iyi, mthimkhulu ha ngo lenga na u wana mushumo.
","dibasari bakeng sa ho tobana le kgaello ya maitsebeloka lebaka la kgaello e kgolo ya maitsebelo lekaleng lena, mthimkhulu ha a ka a sokola ho fumana mosebetsi.
"
"ndo vha wa mashudu u wana mushumo sibadela tsha zwifuwo tsha fourways musi ndi kha ṅwaha wanga wa u fhedzisa.
","""ke bile lehlohonolo haholo hore ke fumane mosebetsi sepetlele sa diphoofolo sa fourways selemong sa ka sa ho qetela.
"
"ndo thoma u shuma hone nga murahu ha ṅwedzi musi ndo fhedza u ṅwala mulingo wanga wa u fhedza nahone ndi khou ḓiphiṋa nga tshiṅwe na tshiṅwe tshawo,"" u ralo.
","ke qadile ho sebetsa moo ntho e ka etsang kgwedi kamora ditlhahlobo tsa makgaolakgang mme esale ke thabela motsotso o mong le o mong,"" o rialo.
"
"vha maanḓalanga a sekhithara ya pfunzo na vhupfumbudzi ha zwa mutakalo na ndondolavhathu (hwseta) vho ḓiimisela u sedzana na ṱhahelelo khulu ya zwikili kha sekhithara ya u onga zwifuwo khathihi na u vhona uri hu vhe na tshanduko.
","bolaodi ba lekala la thuto le thupello la kalafo le thekolohelo (hwseta) le itlametse ho tobana le kgaello ya maitsebelo e fetelletseng ka hara lekala la kalafo ya diphoofolo le ho netefatsa diphethoho.
"
"a si kale vho rwela ṱari fulo ḽa u eletshedza matshudeni nga ha buḓo heḽi ḽa saintsi ya u onga zwifuwo, nga tshumisano na muhasho wa pfunzo dza nṱha na vhupfumbudzi, nahone vha ḓo dalela zwikolo zwa mahayani u ṱuṱuwedza vha gudiswa u dzhia buḓo iḽi ḽa vhuongi ha zwifuwo sa ḽine vha nga tevhela ḽone.
","haufinyana tjena bo tha kgotse letsholo la tataiso ya lekala la saense ya kalafo ya diphoofolo, ka semphato le lefapha la thuto le thupello e phahameng, mme bo tla etela dikolo tsa metseng ya mahae ho kgothaletsa baithuti ho nahana ka ditshebeletso tsa kalafo ya diphoofolo jwaloka motjha wa mosebetsi.
"
"vho dovha vha ḓivhadza u ṋetshedzwa ha bazari dza 60 u thusa u lwa na ṱhahelelo ya vhaongi vha zwifuwo khathihi na vhathusi vhavho kha ḽa afrika tshipembe zwihulwanesa vhuponi ha mahayani.
","bo boetse bo tsebisitse dibasari tse 60 bakeng sa ho tobana le kgaello e hlokolosi ya dingaka tsa diphoofolo le bathusi ba dingaka tsa diphoofolo dibakeng tsa mahae tsa afrika borwa.
"
"""bazari idzo dzo itelwa zwihulusa vhagudiswa vha vhuponi ha mahayani sa vhunga vha tshi ḓo kona u humisela nḓivho iyi mahayani avho,"" avho ndi dokotela vho nomfundo mnisi, mudzulatshidulo wa hwseta.
","""dibasari di reretswe ka ho toba baithuti ba dibakeng tsa metse ya mahae kaha ba ka busetsa tsebo ya bona metseng ya bo bona,"" ho rialo ngaka nomfundo mnisi, e leng modulasetulo wa hwseta.
"
"tshanḓa tsha minisṱa wa pfunzo dza nṱha, saintsi na vhutumbuli, vho buti manamela, vho livhuwa bazari idzo.
","motlatsi wa letona la thuto e phahameng, saense le ntjhafatso, buti manamela, o amohetse dibasari tsena.
"
"khethekanyo ya saintsi ya zwa vhuongi ha zwifuwo ya up i ḓo thusa vha hwseta kha u kunguwedza, u ṋetshedza masheleni a bazari khathihi na mafulo a u wana vhagu diswa.
","lefapha la up la saense ya bongaka ba diphoofolo le tla thusa hwseta ka matsholo a ho ibapatsa, a matlole a dibasari le a ho thaotha.
"
"""ri ḓo dovha ra thusa vha hwseta kha nda ngulo ya dzibazari, dze dza ḓo ṋetshedzwa kha vhagu diswa vha saintsi ya vhuongi ha zwifuwo vha ṅwaha wa u thoma u bva kha zwigwada zwo ṋangiwaho,"" vha ralo vho chris van blerk, ṱhoho ya vhudavhidzani na midia kha khethekanyo ya saintsi ya vhuongi ha zwi fuwo ya up.
","""re tla boela re thuse hwseta mabapi le ho tsamaisa dibasari, tse neng di abetswe baithuti ba selemo sa pele sa saense ya kalafo ya diphoofolo ho tswa dihlopheng tse hlokang menyetla,"" ho rialo chris van blerk, hlooho ya dikgokahanyo le merero ya boraditaba lefapheng la saense ya kalafo ya diphoofolo la up.
"
"vha ri vhaswa vha no khou ṱoḓa u kanda kha ṋayo dza mthimkhulu na u ḓiṅwalisela u guda digirii yavho ya u thoma fhaḽa up vha tea u vha vho ṱhaphudza ṱhanziela ya maṱiriki ya lushaka (nsc), kana iṅwe ṱhanziela i elanaho na yeyo, na u swikelela ṱhoḓea dza fhasisa dzo randelwaho.
","o re batjha ba lakatsang ho latela menyabuketsong ya mthimkhulu le ho ingodisa bakeng sa lengolo la pele la dikgerata up ba lokela hore ba be ba phethetse setifikeiti se phahameng sa naha (nsc), kapa lengolo le tshwanang le lona, le ho kgema le ditlhokeho tsa mantlha.
"
"""uri vha kone u gudela digirii ya vhuongi ha zwifuwo, vha tea u vha vho wana tshikoro tsha phoindi dza u ṱanganedzwa dza fhasisa dza 28 khathihi na u khunyeledza nsc hune vha tea u vha vhe na english home language kana english first additional language, mathematics, khathihi na physical sciences kana life sciences, vho ḓadzisa nga u ralo.
","""bakeng sa kgerata ya booki ba diphoofolo, ba lokela ho kgema le seahlolo sa dintlha tsa kamohelo sa 28 le nsc ka senyesemane e le puo ya lapeng kapa senyesemane e le puo ya pele ya tlatsetso, mmetse, le saense kapa disaense tsa bophelo,"" o a tlatseletsa.
"
"u wana mafhungo nga vhuḓalo nga ha sekhithara iyi, vhaswa vha nga kwama vha shumaho nga vhuongi ha zwifuwo vha phuraivethe kana vha amba na vhaongi vha zwifuwo vha tshumelo ya tshitshavha ya khombekhombe (ccs) vhane vha vha tshipiḓa tsha muhasho wa vhulimi, mvusuludzo ya mavu na mveledziso ya mahayani (dalrrd) u mona na shango.
","bakeng sa tlhahisoleseding e eketsehileng ka lekala lena, batjha ba ka iteanya le dibaka tsa bongaka ba diphoofolo kapa ba ka bua le baalafi ba diphoofolo ba tshebeletso e tlamang ya badudi (ccs) bao e leng karolo ya lefapha la temothuo, tlhabollo ya mobu le ntshetsopele ya dibaka tsa mahae (dalrrd) ho phatlalla le naha.
"
"""mbekanyamushumo ya ccs yo livhiswa kha u ṋetshedza tswikelelo ya tshumelo ya u onga zwifuwo i sa ḓuriho kha vhupo ha mahayani na vhune vhu sa wane tshumelo dzo teaho u mona na ḽa afrika tshipembe.
","""lenaneo la ccs le rerile ho fana ka ditshebeletso tse fihlellehang le tse kgonehang tsa bongaka ba diphoofolo dibakeng tse sa fumaneng ditshebeletso tse batlehang le ho haella ka mehlodi ka hara afrika borwa.
"
"zwo ralo, vha tshumelo ya u onga zwifuwo vha re kha mbekanyamushumo vha ḓo shuma sa zwiko zwavhuḓi zwa mafhungo a elanaho na u onga zwifuwo,"" vha ralo vhovan blerk.","kahoo, dingaka tsa diphoofolo tsa lenaneo di tla dula di sebetsa jwaloka mehlodi e hlwahlwa ya tlhahisoleseding,"" ho rialo van blerk."
