tso,afr
"ka ha ri na swotala hi mayelana na rhavi ra vutshunguri leri tirhanaka na ku tumbuluka na ku hangalaka ka xitsongwatsongwana lexi nga tiveriweki.
","ons is deur internasionale instansies en die ervaring van ander lande gelei.
"
"swa antswa ku endla swihoxo eka tlhelo ro tivonela ematshan’weni yo hakela hakelo yo vava ya ku lahlekeriwa hi ku ehleketa kahle eka mundzuku.
","die werklikheid is dat ons in onbekende waters vaar.
"
"hambileswi ku nga na mavonelo yo hambana eka swin’wana swa swiboho leswi hi swi tekeke – naswona eka swiyimo swin’wana leswi swi vile mavonelo lama voyameleke tlhelo rin’we – mfumo wu le ku endleni ka matshalatshala ku endla hi ndlela leyi tlakusaka mfanelo ya ku hanya na ndzhuti wa vanhu va ka hina hinkwavo.
","daar is steeds baie dinge oor die virus se epidemiologie wat onbekend is.
"
"hi ku yingisela vanhu va ka hina na swivilelo swa vona eka nkarhi lowu ku vile xin’wana xa swihlawulekisi swa hilaha hina tanihi mfumo hi nga lawula ntungu hakona.
","dit is beter om nou versigtig wees as om die rampspoedige prys vir n toekomstige oordeelsfout te betaal.
"
"hi ya emahlweni hi yingisela swivilelo swa vanhu va ka hina, naswona hi tiyimiserile ku cinca loku nga ta ringananisa swivilelo swa vanhu na mintlhotlho leyi va hlanganaka nayona eka xilaveko xo ponisa vutomi.
","hoewel daar uiteenlopende menings oor sommige van die besluite is wat ons geneem het – en dit in sommige gevalle opvattings gepolariseer het – doen die regering alles moontlik om op n manier op te tree wat die reg tot lewe en waardigheid van al ons mense bevorder.
"
"eka nkarhi lowu wo tika, matimba ya hina ya nhlanganelo ma fanele ma kongomisiwa eka ku vona leswaku rihanyu na vutomi bya hlayisiwa, leswaku mphakelo wa swakudya, nhlayiso wa rihanyu, vuhlayiseki bya vaaki na ku horiwa ka midende a swi kavanyeteki.
","een van die onderskeidende kenmerke van hoe ons, as die regering, dié pandemie hanteer, is dat ons tydens dié tydperk na ons mense en hulle bekommernisse luister.
"
"ehansi ka swiyimo leswi swo tika swonghasi, tanihi mfumo, tanihi munhu hi un'weun'we na tanihi vaakitiko, hi ta endla swihoxo mikarhi hinkwayo.
","ons sal steeds na ons mense se bekommernisse luister en is bereid om wysigings te maak wat mense se besorgdheid oor die uitdagings wat hulle in die gesig staar, met die behoefte om lewens te red, balanseer.
"
"loko leswi swi endleka, hi ta swi lulamisa.
","in dié moeilike tyd, moet ons ons gesamentlike krag daarop rig om te verseker dat ons mense gesond bly en dat lewens gered word, asook dat die voorsiening van kos, water, gesondheidsorg, maatskaplike sekerheid en maatskaplike ondersteuning nie onderbreek word nie.
"
"kambe hi fanele hi kongoma emahlweni, hi nga chavi kumbe ku hela matimba.
","onder hierdie uitsonderlike omstandighede, sal ons as die regering, individue en die samelewing, soms foute maak.
"
"xiyimo lexi hi tikumaka hi ri eka xona xi lava xitiyanhlana na ku tiyisela.
","en wanneer dit gebeur, sal ons dit regstel, maar ons moet voortgaan sonder om moed te verloor en ons voornemens prys te gee.
"
"xi lava vunene na ku tshembeka exikarhi ka wena, muakitiko na mfumo wa wena na le xikarhi ka munhu wun’wana na wun’wana.","die situasie waarin ons onsself bevind vereis moed en geduld, sowel as goedgesindheid en vertroue tussen jou, die mense, en jou regering, en tussen mekaar."
